rsi_oversold,rsi_buy_exit,rsi_overbought,rsi_sell_exit,golden_cross,ma_short,total_trades,win_rate,total_invested,total_profit,total_return,max_water
30,35,75,55,ON,50,9,100.0,17000,3701.949882591144,21.776175779947906,3
35,45,65,55,OFF,50,18,100.0,30000,3675.313601144541,12.251045337148469,3
35,45,65,55,OFF,40,18,100.0,30000,3675.313601144541,12.251045337148469,3
30,45,80,40,ON,50,6,100.0,11000,3668.757170552268,33.35233791411152,4
35,40,65,55,ON,50,17,100.0,33000,3665.956489516736,11.108959059141624,4
30,45,75,45,ON,50,8,100.0,14000,3635.3938198356886,25.967098713112062,3
30,35,65,45,OFF,40,12,100.0,19000,3623.1646095332553,19.069287418596083,3
30,35,65,45,OFF,50,12,100.0,19000,3623.1646095332553,19.069287418596083,3
30,40,70,40,ON,50,8,100.0,13000,3588.999736079602,27.6076902775354,3
35,45,65,50,ON,50,15,100.0,26000,3569.6368345751234,13.72937244067355,3
30,35,70,40,OFF,40,10,100.0,16000,3561.852583960825,22.261578649755158,3
30,35,70,40,OFF,50,10,100.0,16000,3561.852583960825,22.261578649755158,3
30,45,75,50,ON,50,8,100.0,14000,3526.135361927339,25.18668115662385,3
30,40,75,50,ON,50,9,100.0,16000,3523.6663887465147,22.022914929665717,3
30,40,70,40,ON,40,8,100.0,12000,3523.018348015747,29.35848623346456,3
30,45,80,55,ON,40,6,100.0,11000,3492.8354108178464,31.75304918925315,4
30,45,70,45,ON,40,9,100.0,14000,3489.4163831471537,24.924402736765384,3
30,35,70,55,OFF,50,12,100.0,19000,3412.9140527033796,17.962705540544103,3
30,35,70,55,OFF,40,12,100.0,19000,3412.9140527033796,17.962705540544103,3
30,35,70,50,ON,40,11,100.0,17000,3409.0860151173856,20.053447147749324,3
30,40,75,50,ON,40,9,100.0,15000,3386.7212988751726,22.57814199250115,3
30,40,80,55,ON,40,7,100.0,12000,3383.2589022131383,28.193824185109484,4
30,45,70,50,ON,40,9,100.0,14000,3338.0419283249325,23.843156630892377,3
30,40,75,40,OFF,50,9,100.0,14000,3336.9142097293425,23.83510149806673,3
30,40,75,40,OFF,40,9,100.0,14000,3336.9142097293425,23.83510149806673,3
30,45,70,45,ON,50,9,100.0,14000,3309.7284559810564,23.64091754272183,3
30,45,80,55,ON,50,6,100.0,11000,3274.9425668272693,29.77220515297517,4
30,45,65,45,ON,40,9,100.0,14000,3251.158093696431,23.222557812117365,3
30,40,70,50,OFF,50,12,100.0,17000,3248.987667594874,19.11169216232279,3
30,40,70,50,OFF,40,12,100.0,17000,3248.987667594874,19.11169216232279,3
30,40,65,45,OFF,50,12,100.0,17000,3210.9456979774327,18.887915870455487,3
30,40,65,45,OFF,40,12,100.0,17000,3210.9456979774327,18.887915870455487,3
30,45,75,40,OFF,40,9,100.0,13000,3210.1162941048883,24.693202262345295,3
30,45,75,40,OFF,50,9,100.0,13000,3210.1162941048883,24.693202262345295,3
30,35,70,50,ON,50,12,100.0,17000,3169.644719405131,18.64496893767724,2
30,45,70,50,ON,50,9,100.0,14000,3149.086228626182,22.49347306161559,3
30,40,70,40,OFF,50,10,100.0,14000,3079.053336613345,21.99323811866675,2
30,40,70,40,OFF,40,10,100.0,14000,3079.053336613345,21.99323811866675,2
30,45,65,45,ON,50,9,100.0,14000,3071.4701665303337,21.939072618073812,3
30,45,75,40,ON,40,7,100.0,11000,3058.1506138312466,27.801369216647696,3
30,40,70,50,ON,40,10,100.0,15000,3007.7489633746827,20.05165975583122,3
30,45,65,45,OFF,50,12,100.0,16000,3007.6828021451147,18.79801751340697,3
30,45,65,45,OFF,40,12,100.0,16000,3007.6828021451147,18.79801751340697,3
30,40,75,55,ON,50,9,100.0,16000,2988.032776042774,18.67520485026734,3
30,45,70,50,OFF,50,12,100.0,16000,2963.4713301209854,18.52169581325616,3
30,45,70,50,OFF,40,12,100.0,16000,2963.4713301209854,18.52169581325616,3
30,45,75,55,ON,40,8,100.0,14000,2888.5497866684764,20.632498476203402,3
30,45,70,40,OFF,40,11,100.0,13000,2886.2275965523536,22.201750742710413,2
30,45,70,40,OFF,50,11,100.0,13000,2886.2275965523536,22.201750742710413,2
30,35,65,45,ON,40,9,100.0,17000,2883.5927807185362,16.962310474814917,3
30,45,75,40,ON,50,7,100.0,11000,2872.7784761868206,26.116167965334736,3
30,35,65,50,OFF,40,12,100.0,19000,2864.30145704791,15.075270826567946,3
30,35,65,50,OFF,50,12,100.0,19000,2864.30145704791,15.075270826567946,3
30,40,75,55,ON,40,9,100.0,15000,2842.040350556116,18.946935670374106,3
35,45,65,55,ON,40,15,100.0,26000,2834.4956270536795,10.901906257898768,3
30,35,65,45,ON,50,9,100.0,17000,2813.750976999716,16.55147633529245,3
30,45,70,40,ON,40,8,100.0,11000,2801.521357816733,25.468375980152118,2
